agent_id,task_amount_done,distance_moved
0,792.0,2745.946163820047
1,617.0,2893.543157350244
2,737.0,2855.1942975337706
3,529.0,2940.266604719765
4,463.0,2892.9591405467045
5,660.0,2863.024352873932
6,566.0,2954.2804860983388
7,591.0,3002.006701317955
8,396.0,3177.4502301824987
9,531.0,3065.0299813249867
