agent_id,task_amount_done,distance_moved
0,0.0,612.6331796560062
1,0.0,777.7521102016381
2,0.0,608.2936270360543
3,0.0,837.5938575588702
4,491.0,556.5290670520018
5,765.0,518.9654482098882
6,0.0,520.2700173039539
7,0.0,659.4026207615352
8,0.0,542.3037842399112
9,0.0,549.2143287566319
10,0.0,559.246592510274
11,0.0,560.7945816141403
12,0.0,514.7504622745571
13,0.0,594.1065996968408
14,0.0,521.0517122707598
15,545.0,531.1799367762765
16,727.0,504.55408588852276
17,0.0,557.0416553670334
18,0.0,582.88942995404
19,0.0,555.5474535614012
20,0.0,643.5883756741924
21,537.0,715.3437979155743
22,0.0,538.1503353162472
23,0.0,671.5695990810199
24,0.0,477.27147845504635
25,0.0,503.71157373590813
26,638.0,642.6913645755199
27,0.0,508.2237155700679
28,0.0,532.6667900804005
29,0.0,558.6212800607593
30,0.0,603.395393066519
31,0.0,564.7353581037403
32,0.0,542.7848426673086
33,0.0,583.4024163271743
34,167.0,549.472218978863
35,0.0,621.8494984240776
36,306.0,474.0993929935761
37,188.0,606.310320586576
38,277.0,602.6960660911737
39,121.0,511.1450988767044
40,0.0,612.7895201385808
41,0.0,586.8309680172466
42,0.0,576.5802450783151
43,0.0,586.6776368164199
44,0.0,641.1375628647698
45,0.0,596.2191019023826
46,0.0,560.788015236576
47,0.0,575.1952880668633
48,0.0,533.9231969245984
49,310.0,490.43902744888425
50,0.0,596.6981502430402
51,0.0,569.0440718092773
52,0.0,543.1518110456559
53,0.0,565.614576301369
54,68.0,576.734760558177
55,0.0,525.3441961874341
56,0.0,515.8127971495076
57,28.0,600.2704806154002
58,329.0,675.0094255959648
59,263.0,581.1577089665727
60,117.0,607.7639679257413
61,181.0,643.9114713027906
62,497.0,537.9161909426894
63,0.0,613.0805153340152
64,0.0,545.0977977000916
65,0.0,618.2530541603364
66,0.0,542.3762885179394
67,0.0,601.3667636866182
68,0.0,485.9054220923529
69,1145.0,515.4737169827466
70,0.0,584.5682423814263
71,0.0,616.301559873105
72,257.0,554.8534714828648
73,0.0,566.0953763165601
74,0.0,563.1533920344187
75,588.0,551.3394545966441
76,0.0,628.4108500762017
77,516.0,490.7819066748774
78,698.0,701.1334505207354
79,0.0,573.7762118956784
80,25.0,566.1151076646171
81,0.0,559.2680475363142
82,0.0,573.2655165423841
83,0.0,606.563694912603
84,483.0,572.3843142068433
85,386.0,513.6891370767586
86,0.0,616.6375412469938
87,0.0,519.3046668201379
88,0.0,533.1112234647105
89,1817.0,466.09457704523527
90,744.0,603.1743658903011
91,11.0,577.0644656756525
92,456.0,516.7957569332207
93,0.0,550.379238776543
94,0.0,583.8316541375466
